Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
0,ah,40,Danish,male,./final_images\WF15_SC_sad.jpg,e,1.594927700003609,correct,sad,white,female,30,100,130,33
1,ah,40,Danish,male,./final_images\BF05_SC_sad.jpg,e,2.5488877999596298,correct,sad,black,female,30,100,130,32
2,ah,40,Danish,male,./final_images\BF03_NO_neutral.jpg,e,3.9309555999934673,neutral,neutral,black,female,40,100,140,42
3,ah,40,Danish,male,./final_images\BM03_HO_happy.jpg,i,4.718907200032845,correct,happy,black,male,20,200,220,22
4,ah,40,Danish,male,./final_images\WM10_NC_neutral.jpg,e,5.907916799886152,neutral,neutral,white,male,40,100,140,43
5,ah,40,Danish,male,./final_images\WF12_NO_neutral.jpg,e,7.584882899885997,neutral,neutral,white,female,40,100,140,43
6,ah,40,Danish,male,./final_images\AM11_SC_sad.jpg,e,8.4719418999739,correct,sad,asian,male,30,100,130,31
7,ah,40,Danish,male,./final_images\WM02_NO_neutral.jpg,e,9.185922799864784,neutral,neutral,white,male,40,100,140,43
8,ah,40,Danish,male,./final_images\BM01_SO_sad.jpg,e,9.971878499956802,correct,sad,black,male,30,100,130,32
9,ah,40,Danish,male,./final_images\WF10_SC_sad.jpg,e,10.700871599838138,correct,sad,white,female,30,100,130,33
10,ah,40,Danish,male,./final_images\BM12_HC_happy.jpg,i,11.475937200011684,correct,happy,black,male,20,200,220,22
11,ah,40,Danish,male,./final_images\BF02_NC_neutral.jpg,e,12.387975399848074,neutral,neutral,black,female,40,100,140,42
12,ah,40,Danish,male,./final_images\BM03_NO_neutral.jpg,e,13.90089049981907,neutral,neutral,black,male,40,100,140,42
13,ah,40,Danish,male,./final_images\BF03_SC_sad.jpg,e,14.65340119996108,correct,sad,black,female,30,100,130,32
14,ah,40,Danish,male,./final_images\WM12_NC_neutral.jpg,e,15.362872499972582,neutral,neutral,white,male,40,100,140,43
15,ah,40,Danish,male,./final_images\AF03_HC_happy.jpg,i,16.359879199881107,correct,happy,asian,female,20,200,220,21
16,ah,40,Danish,male,./final_images\BF17_NC_neutral.jpg,e,18.048855199944228,neutral,neutral,black,female,40,100,140,42
17,ah,40,Danish,male,./final_images\WM10_SC_sad.jpg,e,18.920866699889302,correct,sad,white,male,30,100,130,33
18,ah,40,Danish,male,./final_images\WF14_HO_happy.jpg,i,19.94984759995714,correct,happy,white,female,20,200,220,23
19,ah,40,Danish,male,./final_images\BM14_HO_happy.jpg,i,20.667882199864835,correct,happy,black,male,20,200,220,22
20,ah,40,Danish,male,./final_images\AM6_HO_happy.jpg,i,21.40392199996859,correct,happy,asian,male,20,200,220,21
21,ah,40,Danish,male,./final_images\BM04_SO_sad.jpg,e,23.28283639997244,correct,sad,black,male,30,100,130,32
